State,Year,so2,no2,rspm
Maharashtra,2006,18.29846626,28.80648211,83.58702659
Maharashtra,2007,18.45968639,29.62043119,90.99851190000001
Maharashtra,2008,17.86620097,32.13819622,101.1085252
Maharashtra,2009,15.45322444,30.68197505,97.06031077
Maharashtra,2010,17.09538421,30.53904543,99.75789387
Maharashtra,2011,17.42454473,33.63604743,111.09370559999999
Maharashtra,2012,16.80245855,33.09319611,103.64783390000001
Maharashtra,2013,16.61453943,31.83747178,100.0633775
Maharashtra,2014,18.14534974,35.74793582,105.91169599999999
Manipur,2005,2.492361015525382,26.833017697134323,77.53337645124309
Manipur,2006,3.3192239900960985,23.806394879145387,77.51137276373667
Manipur,2007,3.5111111110000004,20.5375,64.67857143
Manipur,2008,4.9,19.155,84.2
Manipur,2009,3.6249296877658366,20.494279054019717,80.76527385444973
Manipur,2010,2.756289188884278,15.216269336872083,75.40610931281604
Manipur,2011,2.65590058786533,14.677549807645109,77.60972269275611
Manipur,2012,2.555511986846383,15.50901547162806,89.09318361583519
Manipur,2013,2.7758534344385843,15.657954350678523,99.20927703937066
Manipur,2014,2.718711369711805,14.338558708266069,85.1240999359407
Meghalaya,2005,6.081904762000001,12.41409797,56.41176471
Meghalaya,2006,5.347619048,13.07962963,60.875
Meghalaya,2007,4.613333333,13.74516129,65.33823529
Meghalaya,2008,22.0,18.0258427,71.53846154
Meghalaya,2009,6.0,12.06760563,77.86046512
Meghalaya,2010,24.18878505,10.88961578,103.4953271
Meghalaya,2011,17.43881857,10.31223629,90.00632911
Meghalaya,2012,8.595294118,10.96331765,72.57908235
Meghalaya,2013,5.369734789,9.752336449,58.67550702
Meghalaya,2014,4.875205255,10.26108374,56.85690789
Mizoram,2005,1.8359999999999999,13.349889800000001,27.85628743
Mizoram,2006,3.568,10.70301508,38.85765125
Mizoram,2007,5.3,8.056140351,39.689419799999996
Mizoram,2008,4.2,7.246285714,37.30420712
Mizoram,2009,3.1,6.379446276,39.45018048
Mizoram,2010,2.0,5.512606838,41.59615385
Mizoram,2011,2.0,5.537590164,39.52178649
Mizoram,2012,2.0,7.095744681,54.32624113
Mizoram,2013,2.13856034,6.701168717000001,48.71616872
Mizoram,2014,2.0415204680000003,6.189473684,43.06988304
Nagaland,2005,2.421235521,14.76,79.76470588
Nagaland,2006,2.7714285710000004,14.39009434,72.98584906
Nagaland,2007,3.1216216219999997,14.08269231,67.44230769
Nagaland,2008,5.3,13.99027778,72.38425926
Nagaland,2009,3.7,16.27666667,79.48888889
Nagaland,2010,2.0,6.68748801,72.44244604
Nagaland,2011,2.0,6.141826922999999,82.34134615
Nagaland,2012,2.0,5.688041925,87.56388916
Nagaland,2013,2.0,5.234256927,92.78643216
Nagaland,2014,2.0,4.780471929,98.00897516
Odisha,2005,5.254074074,15.03807391,76.6987315
Odisha,2006,5.206242906,16.0534712,77.80100937
Odisha,2007,5.591397849,15.76695122,76.35870889
Odisha,2008,6.479314158999999,17.299751399999998,83.73523928
Odisha,2009,6.544191617,17.85108055,84.86378520000001
Odisha,2010,4.268662919,17.69545271,84.80456349
Odisha,2011,2.1527377519999997,18.5949422,92.93467819
Odisha,2012,4.113880814,16.88819041,84.72318314
Odisha,2013,4.08667288,17.02096925,85.95324635
Odisha,2014,5.016246259,18.07182557,89.83283454
Puducherry,2005,15.67619048,14.58832117,50.78571429
Puducherry,2006,9.648905109,11.03424125,58.64035088
Puducherry,2007,4.523580786,8.118932039,49.82909091
Puducherry,2008,4.67029703,11.06509434,48.38
Puducherry,2009,2.972972973,7.714285714,40.37209302
Puducherry,2010,5.829039216,13.09608497,37.67464052
Puducherry,2011,7.233789954,15.58928571,41.87012987
Puducherry,2012,7.506666667,13.75555556,40.117391299999994
Puducherry,2013,6.196850394,13.743082999999999,42.88235294
Puducherry,2014,9.01511335,12.34508816,39.97506234
Punjab,2005,15.67136061,32.53339676,219.50344040000002
Punjab,2006,12.25263944,31.42722748,215.58547009999998
Punjab,2007,11.15485481,32.21637188,200.5820992
Punjab,2008,10.13460965,30.59220844,218.2324094
Punjab,2009,9.423045977000001,29.12132184,203.8932677
Punjab,2010,10.45248869,27.254399199999998,193.60300669999998
Punjab,2011,10.16016446,26.05633288,164.5903064
Punjab,2012,9.644793926,27.04747188,161.57325480000003
Punjab,2013,9.639264264,25.06722222,156.301107
Punjab,2014,9.002353864,23.93652561,131.9506627
Rajasthan,2005,7.539305402,24.79356322,105.063571
Rajasthan,2006,6.834328358,25.84310602,122.65815819999999
Rajasthan,2007,6.924216112000001,24.87784749,115.46976969999999
Rajasthan,2008,6.859831461000001,28.88460459,129.3512761
Rajasthan,2009,6.284865135,27.88832918,130.1223691
Rajasthan,2010,6.730209664,29.90296501,164.4673546
Rajasthan,2011,6.890348661,29.62455786,162.93995959999998
Rajasthan,2012,8.445841121,37.45882432,166.5382302
Rajasthan,2013,6.993220339,30.23291138,172.7112721
Rajasthan,2014,7.420108409,34.51190234,161.61029409999998
Sikkim,2005,25.954615802945753,23.87186760644132,38.02279874360152
Sikkim,2006,19.224957057022458,25.796375699223105,35.5737707095953
Sikkim,2007,19.8,26.8,32.0
Sikkim,2008,23.067420890010432,30.42004771548279,33.624071112867284
Sikkim,2009,32.65874091896912,29.40333615740963,47.92002248525954
Sikkim,2010,25.26187210771064,29.20088488494366,34.34208627665281
Sikkim,2011,44.663148215797534,25.736703094162127,36.99700705366201
Sikkim,2012,107.94808643695626,24.716763750624633,33.50149366027268
Sikkim,2013,27.249208067790182,28.84754786186659,49.70684053569369
Sikkim,2014,21.05195432570956,26.0468639054235,36.395599595346525
Tamil Nadu,2005,11.88474576,25.56024279,54.92496392
Tamil Nadu,2006,12.5658749,25.96273734,58.30634072
Tamil Nadu,2007,13.55475483,21.83539955,64.96441809
Tamil Nadu,2008,13.36700361,21.85787572,68.82201714
