state,date,so2,no2,rspm,spm
Chandigarh,2013,2.0070588235294116,28.308235294117647,101.44625850340137,
Chandigarh,2014,2.0,21.316438356164383,91.10641200545703,
Chhattisgarh,2001,12.6125,20.237499999999997,,81.58333333333333
Chhattisgarh,2002,12.657142857142857,19.32857142857143,,93.63636363636364
Chhattisgarh,2004,13.183522727272733,20.099431818181813,158.49689440993788,181.27683615819208
Chhattisgarh,2005,14.657963875205235,26.863676470588224,132.6529411764706,234.46323529411765
Chhattisgarh,2006,15.30338733431517,26.07316753926701,131.26440677966102,215.83074935400518
Chhattisgarh,2007,14.875888324873104,26.07101631116687,118.35516372795969,218.34819277108434
Chhattisgarh,2008,15.903116147308765,27.428045325779063,127.5099715099715,253.43454038997214
Chhattisgarh,2009,14.806976744186032,26.37445573294632,131.34834834834834,261.992927864215
Chhattisgarh,2010,11.726207906295754,25.567448680351905,148.58587479935795,
Chhattisgarh,2011,11.282352941161388,24.572292609351432,137.89564685314684,
Chhattisgarh,2012,10.31768953068592,21.674545454545456,98.16985138004246,
Chhattisgarh,2013,10.292604501607718,22.624398073836275,118.06851851851852,
Chhattisgarh,2014,10.162790697674419,22.608540925266905,116.1321138211382,
Dadra & Nagar Haveli,2007,10.641176470588235,18.88823529411765,89.11764705882354,208.52941176470588
Dadra & Nagar Haveli,2008,9.852884615384614,17.324519230769234,93.34134615384616,191.0721153846154
Dadra & Nagar Haveli,2009,8.589855072463765,17.31884057971015,71.23188405797102,312.94202898550725
Dadra & Nagar Haveli,2010,7.138297872340425,17.617021276595743,39.340425531914896,
Dadra & Nagar Haveli,2011,7.592783505154638,19.354639175257734,23.857142857142858,42.381443298969074
Dadra & Nagar Haveli,2012,7.618666666666668,20.18133333333333,,
Daman & Diu,2007,12.299999999999999,18.43125,92.5625,216.75
Daman & Diu,2008,9.779126213592232,17.071844660194188,96.02912621359224,211.44174757281553
Daman & Diu,2009,7.2731343283582115,18.83731343283582,57.11940298507463,222.6417910447761
Daman & Diu,2010,7.177083333333333,17.65625,35.322916666666664,
Daman & Diu,2011,7.490990990990992,19.61171171171171,24.0,39.351351351351354
Daman & Diu,2012,7.628947368421052,20.147368421052633,,
Delhi,2001,12.912121212121207,39.01414141414142,,363.87628865979383
Delhi,2002,10.95,36.976086956521755,,338.86021505376345
Delhi,2003,9.939169139465875,42.35407407407408,130.9125,373.006106870229
Delhi,2004,,,135.19943566591417,340.0913580246914
Delhi,2005,9.254005934718089,49.02800546448084,139.0984081041968,356.72157434402334
Delhi,2006,9.548440366972482,46.42901459854015,163.26915520628683,417.5261194029851
Delhi,2007,6.324870466321244,48.8164429530201,175.82264150943396,388.9206896551724
